OperandA,OperandB,Ctrl_Mult,Ctrl_Div,interrupt,result,exception
1,0,1,0,0,0,0
0,1,1,0,0,0,0
1,2,1,0,0,2,0
2,-4,1,0,0,-8,0
4,8,1,0,0,32,0
-8,16,1,0,0,-128,0
16,32,1,0,0,512,0
32,-64,1,0,0,-2048,0
64,128,1,0,0,8192,0
-128,256,1,0,0,-32768,0
256,512,1,0,0,131072,0
512,-1024,1,0,0,-524288,0
1024,2048,1,0,0,2097152,0
-2048,4096,1,0,0,-8388608,0
4096,8192,1,0,0,33554432,0
8192,-16384,1,0,0,-134217728,0
16384,32768,1,0,0,536870912,0
-32768,65536,1,0,0,-2147483648,0
65536,131072,1,0,0,0,1
-2147483648,2,1,0,0,0,1